lulc_datapoint,wind_suitability_factor,solar_pv_suitability_factor,solar_csp_suitability_factor
11,0,0,0
14,0.7,0.01,0.01
20,0.7,0.01,0.01
30,0.7,0.01,0.01
40,0.1,0,0
50,0.1,0,0
60,0.1,0,0
70,0.1,0,0
90,0.1,0,0
100,0.1,0,0
110,0.5,0.01,0.01
120,0.65,0.01,0.01
130,0.5,0.01,0.01
140,0.8,0.01,0.01
150,0.9,0.01,0.01
160,0,0,0
170,0,0,0
180,0,0,0
190,0,0,0
200,0.9,0.05,0.05
