wind_vestas_v136_3450,power_vestas_v136_3450,wind_vestas_v90_2000,power_vestas_v90_2000,wind_GE_2500,power_GE_2500,wind_Gamesa_G114_2000,power_Gamesa_G114_2000,wind_E101_3050,power_E101_3050,wind_GE1500,power_GE1500
2.5,15,3,10,3,10,2.5,6,2,3,3.5,0
3,35,3.5,20,3.5,80,3,43,2.5,20,4,38.5
3.5,121,4,46,4,160,3.5,76,3,37,4.5,66
4,212,4.5,110,4.5,250,4,135,3.5,78,5,104
4.5,341,5,170,5,340,4.5,220,4,118,5.5,150
5,473,5.5,240,5.5,460,5,306,4.5,188,6,205
5.5,661,6,355,6,590,5.5,435,5,258,6.5,269
6,851,6.5,460,6.5,770,6,584,5.5,369,7,344
6.5,1114,7,580,7,952,6.5,724,6,479,7.5,428
7,1377,7.5,732,7.5,1170,7,917,6.5,635,8,528
7.5,1718,8,884,8,1389,7.5,1110,7,790,8.5,644
8,2058,8.5,1065,8.5,1650,8,1382,7.5,995,9,774
8.5,2456,9,1245,9,1869,8.5,1586,8,1200,9.5,926.5
9,2854,9.5,1428,9.5,2100,9,1726,8.5,1455,10,1079
9.5,3200,10,1612,10,2260,9.5,1817,9,1710,10.5,1211
10,3415,10.5,1756,10.5,2400,10,1875,9.5,2025,11,1342
10.5,3445,11,1900,11,2487,10.5,1913,10,2340,11.5,1401
11,3450,11.5,1940,11.5,2500,11,1934,10.5,2650,12,1460
11.5,3450,12,1968,12,2500,11.5,1970,11,2867,12.5,1477
12,3450,12.5,1980,12.5,2500,12,1980,11.5,2975,13,1494
12.5,3450,13,1990,13,2500,12.5,2000,12,3034,13.5,1500
13,3450,13.5,2000,13.5,2500,13,2000,12.5,3046,,
13.5,3450,14,2000,14,2500,13.5,2000,13,3050,,
14,3450,14.5,2000,14.5,2500,14,2000,13.5,3050,,
14.5,3450,15,2000,15,2500,14.5,2000,14,3050,,
15,3450,15.5,2000,15.5,2500,15,2000,14.5,3050,,
15.5,3450,16,2000,16,2500,15.5,2000,15,3050,,
16,3450,16.5,2000,16.5,2500,16,2000,15.5,3050,,
16.5,3450,17,2000,17,2500,16.5,2000,16,3050,,
17,3450,17.5,2000,17.5,2500,17,2000,16.5,3050,,
17.5,3450,18,2000,18,2500,17.5,2000,17,3050,,
18,3450,18.5,2000,18.5,2500,18,2000,17.5,3050,,
18.5,3450,19,2000,19,2500,18.5,2000,18,3050,,
19,3450,19.5,2000,19.5,2500,19,2000,18.5,3050,,
19.5,3450,20,2000,20,2500,19.5,2000,19,3050,,
20,3450,20.5,2000,20.5,2500,20,2000,19.5,3050,,
20.5,3450,21,2000,21,2500,20.5,2000,20,3050,,
21,3450,21.5,2000,21.5,2500,21,2000,20.5,3050,,
21.5,3450,22,2000,22,2500,21.5,1958,21,3050,,
22,3450,22.5,2000,22.5,2500,22,1900,21.5,3050,,
22.5,0,23,2000,23,2500,22.5,1820,22,3050,,
,,23.5,2000,23.5,2500,23,1707,22.5,3050,,
,,24,2000,24,2500,23.5,1611,23,3050,,
,,24.5,2000,24.5,2500,24,1490,23.5,3050,,
,,25,2000,25,2500,24.5,1370,24,3050,,
,,,,,,25,1215,24.5,3050,,
,,,,,,,,25,3050,,
